;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Informações do Empreendimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Financiamento da Obra;;;;;;;;;;;;;Informações das Unidades;;;;;;;;;;;;;;;;;;;;;;;;;;Financiamento ao Comprador;;;;;
RGI;Código no Mapa;Empreendimento;Edifício;Zona de Valor;Endereço;Bairro;Distrito;Região;Cidade;UF;CEP;Zoneamento;Setor;Quadra;Data Lançamento;Data Entrega;Data Ocupação;Data Projeto Aprovado;Tipologia;Classificação do tipo;Padrão;Status;Área Terreno;Área Total Construída;Torres;Nº de Elevadores;Registro de Incorporação;Infraestrutura;Grupo Incorporador Apelido;Grupo Incorporador;Incorporadora 1;Incorporadora 2;Incorporadora 3;Incorporadora 4;Construtora 1;Construtora 2;Vendedora 1;Vendedora 2;Vendedora 3;Vendedora 4;Banco;Unidade;Dormitórios;Suítes;Banheiros;Nº Vagas;Área Privativa;Área Total;Nº Total de Unidades;Nº Unidades por Pavimento;Nº de Pavimentos;Valor do Dolar no lançamento;(VMU)Preço de venda da unidade no lançamento;(VUV)Preço m2 privativo no lançamento;(VMU)Preço de venda da unidade atualizado INCC;(VUV)Preço m2 privativo atualizado INCC;(VMU)Preço de venda da unidade atualizado IGPM;(VUV)Preço m2 privativo atualizado IGPM;(VMU)Preço de venda da unidade atualizado CUB;(VUV)Preço m2 privativo atualizado CUB;(VMU)Preço de venda da unidade na data pesquisa;(VUV)Preço m2 privativo na data pesquisa;% Unidades Vendidas;% Unidades a Vender;Unidades Vendidas;Qtd em Estoque;VGV;Modalidade;Banco;Condições de pagamento;Responsabilidade do Comprador;Data Pesquisa;Observações
32258812;43;FLORENCE;BLOCO A, BLOCO B;SOROCABA - SP;R KARIM JAMMAL, 0;JARDIM VERA CRUZ;SEM DISTRITO;INTERIOR;SOROCABA;SP;18050-290;;0;0;dez/13;fev/14;;;Res. Vertical;MEDIO BAIXO;PADRAO MEDIO-S/ELEVADOR;PRONTO;3.870,00;;2;0;;Estacionamento de Visitantes, Playground, Jardins,;SILVA CAMPOS;CONSTRUTORA SILVA CAMPOS;CONSTRUTORA SILVA CAMPOS;;;;CONSTRUTORA SILVA CAMPOS;;RIBERA NEGOCIOS IMOBILIARIOS LTDA;;;;;2 DORMS;2;0;1;1;52,00;79,05;40;4;5;2,35;174.600,00;3.357,69;228.307,05;4.390,52;225.980,79;4.345,78;216.201,22;4.157,71;181.000,00;3.480,77;100,00;0,00;40;0;6.984.000,00;Preço Fechado;;;;27/09/2016;
344401112;44;GENESES;;SOROCABA - SP;R TAUBATE, 0;JARDIM LEOCADIA;SEM DISTRITO;;SOROCABA;SP;18085-375;;0;0;set/13;set/13;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;PRONTO;389,00;;1;0;;;LARIDEAL;LARIDEAL IMOVEIS;LARIDEAL IMOVEIS;;;;LARIDEAL IMOVEIS;;LARIDEAL IMOVEIS;;;;;2 DORMS;2;0;1;1;50,00;75,00;8;2;4;2,27;158.110,00;3.162,20;208.218,71;4.164,37;208.229,39;4.164,59;196.412,77;3.928,26;175.000,00;3.500,00;100,00;0,00;8;0;1.264.880,00;Preço Fechado;;;;16/01/2015;
33873714;45;GLASS CAMPOLIM;TORRE A, TORRE B;SOROCABA - SP;R GIACOMO LONGOBARDI, 0;JARDIM EMILIA;SEM DISTRITO;;SOROCABA;SP;18031-090;;0;0;set/13;set/16;;;Res. Vertical;MEDIO;PADRAO MEDIO-C/ELEVADOR;EM OBRAS;1.800,00;;2;2;;Churrasqueira, Piscina Adulta, Salao de Jogos, Playground,;BRINK;BRINK INCORPORACOES E PARTICIPACOES;BRINK INCORPORACOES E PARTICIPACOES;;;;BRINK INCORPORACOES E PARTICIPACOES;;REIS IMOVEIS LTDA;;;;;3 DORMS;3;1;2;2;88,00;150,00;96;4;12;2,27;500.000,00;5.681,82;658.461,54;7.482,52;658.495,33;7.482,90;621.126,97;7.058,26;530.000,00;6.022,73;100,00;0,00;96;0;48.000.000,00;Preço Fechado;;;;01/07/2014;
39443417;46;GLORIA;;SOROCABA - SP;R VOLUNTARIO ALTINO, 119;VILA HORTENCIA;SEM DISTRITO;;SOROCABA;SP;18020-290;ZC;0;0;nov/14;jan/17;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;PRONTO;1.526,35;;1;3;;Salao de Festas,;JJ SILVA;JJ SILVA EMPREENDIMENTOS IMOBILIARIOS;JJ SILVA EMPREENDIMENTOS IMOBILIARIOS;;;;JJ SILVA EMPREENDIMENTOS IMOBILIARIOS;;RIBERA NEGOCIOS IMOBILIARIOS LTDA;JORGE JACOB IMOVEIS;;;;1 DORM;1;0;1;1;49,30;73,95;40;8;10;2,55;127.800,00;2.592,29;156.379,26;3.171,99;160.520,58;3.255,99;148.820,92;3.018,68;180.000,00;3.651,12;65,00;35,00;26;14;5.112.000,00;Preço Fechado;;;;04/09/2018;MM: 04.09.2018 Ficha revisada! Não encontrei implantação.
39443417;46;GLORIA;;SOROCABA - SP;R VOLUNTARIO ALTINO, 119;VILA HORTENCIA;SEM DISTRITO;;SOROCABA;SP;18020-290;ZC;0;0;nov/14;jan/17;;;Res. Vertical;MEDIO BAIXO;PADRAO MEDIO-S/ELEVADOR;PRONTO;1.526,35;;1;3;;Salao de Festas,;JJ SILVA;JJ SILVA EMPREENDIMENTOS IMOBILIARIOS;JJ SILVA EMPREENDIMENTOS IMOBILIARIOS;;;;JJ SILVA EMPREENDIMENTOS IMOBILIARIOS;;RIBERA NEGOCIOS IMOBILIARIOS LTDA;JORGE JACOB IMOVEIS;;;;2 DORMS;2;0;1;1;68,50;102,75;40;8;10;2,55;191.700,00;2.798,54;234.568,90;3.424,36;240.780,87;3.515,05;223.231,37;3.258,85;245.000,00;3.576,64;80,00;20,00;32;8;7.668.000,00;Preço Fechado;;;;04/09/2018;
32296218;47;HELENA MARIA;( LOTEAMENTO FECHADO);SOROCABA - SP;R PAULO EMANUEL DE ALMEIDA, 585;PARQUE DOS EUCALIPTOS;SEM DISTRITO;;SOROCABA;SP;18053-505;ZR 3;0;0;set/17;set/19;;;Loteamento;;PADRAO MEDIO-S/ELEVADOR;EM OBRAS;260.000,00;;0;0;;Pista de Cooper,;MGT;MGT BOLINA ENGENHARIA LTDA;MGT BOLINA ENGENHARIA LTDA;;;;MGT BOLINA ENGENHARIA LTDA;;MGT BOLINA ENGENHARIA LTDA;;;;;LOTE;0;0;0;0;200,00;200,00;323;0;0;3,13;118.440,00;592,20;122.617,02;613,09;127.477,59;637,39;121.931,67;609,66;126.000,00;630,00;40,25;59,75;130;193;38.256.120,00;Preço Fechado;;;;03/09/2018;"MM: 03.09.2018 Lotes com 200m² restam apenas 25 unidades.
KP - 09/05/2018 - Ficha Revisada."
33872718;48;HORTO FLORESTAL VILLAGIO;;SOROCABA - SP;AV IPANEMA, 5072;JARDIM NOVO HORIZONTE;SEM DISTRITO;;SOROCABA;SP;18071-801;ZR 3;0;0;set/17;set/19;;;Loteamento;;NAO INFORMADO;EM OBRAS;475.568,08;;0;0;;Quadra Poli-Esportiva, Salao de Festas, Playground,;JULIO E JULIO;JULIO E JULIO E CIA LTDA;JULIO E JULIO E CIA LTDA;;;;JULIO E JULIO E CIA LTDA;;JULIO E JULIO E CIA LTDA;;;;;LOTE;0;0;0;0;150,50;150,50;909;0;0;3,13;62.320,00;414,09;64.517,84;428,69;67.075,34;445,69;64.157,22;426,30;82.000,00;544,85;49,50;50,50;450;459;56.648.880,00;Preço Fechado;;;;24/09/2018;
32735418;49;HOUSE PREMIUM;;SOROCABA - SP;R ELIAS RODRIGUES CLARO, 485;JARDIM SAO CARLOS;SEM DISTRITO;;SOROCABA;SP;18046-390;ZR 2;0;0;nov/17;mai/20;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-C/ELEVADOR;LANÇAMENTO;4.900,00;;1;2;;Academia, Quadra Poli-Esportiva, Piscina Adulta, Salao de Festas, Salao de Jogos, Playground, Brinquedoteca,;VERÔNICA;VERÔNICA INCORPORAÇÃO E CONSTRUÇÃO;VERÔNICA INCORPORAÇÃO E CONSTRUÇÃO;;;;VERÔNICA INCORPORAÇÃO E CONSTRUÇÃO;;EASY HOUSE IMOVEIS;;;;;2 DORMS;2;1;2;1;57,11;85,66;54;8;13;3,26;182.716,00;3.199,37;188.004,14;3.291,97;195.248,86;3.418,82;187.669,77;3.286,11;188.250,00;3.296,27;46,30;53,70;25;29;9.866.664,00;Preço Fechado;;;;05/09/2018;
32735418;49;HOUSE PREMIUM;;SOROCABA - SP;R ELIAS RODRIGUES CLARO, 485;JARDIM SAO CARLOS;SEM DISTRITO;;SOROCABA;SP;18046-390;ZR 2;0;0;nov/17;mai/20;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-C/ELEVADOR;LANÇAMENTO;4.900,00;;1;2;;Academia, Quadra Poli-Esportiva, Piscina Adulta, Salao de Festas, Salao de Jogos, Playground, Brinquedoteca,;VERÔNICA;VERÔNICA INCORPORAÇÃO E CONSTRUÇÃO;VERÔNICA INCORPORAÇÃO E CONSTRUÇÃO;;;;VERÔNICA INCORPORAÇÃO E CONSTRUÇÃO;;EASY HOUSE IMOVEIS;;;;;2 DORMS;2;1;2;1;59,57;89,35;54;8;13;3,26;190.446,00;3.197,01;195.957,86;3.289,54;203.509,07;3.416,30;195.609,34;3.283,69;196.137,00;3.292,55;50,00;50,00;27;27;10.284.084,00;Preço Fechado;;;;05/09/2018;
37329413;50;ILE NOTRE-DAME;TORRE A, TORRE B;SOROCABA - SP;R RAPHAEL DIAS DA SILVA, 160;PARQUE CAMPOLIM;SEM DISTRITO;INTERIOR;SOROCABA;SP;18048-120;ZR 2;0;0;abr/13;nov/16;;;Res. Vertical;MEDIO;PADRAO MEDIO-C/ELEVADOR;PRONTO;5.750,00;;2;3;;Quadra de Tennis, Quadra Poli-Esportiva, Piscina Adulta, Espaco Gourmet, Salao de Festas, Salao de Jogos, Piscina Infantil, Playground, Fitness,;PLANETA;CONSTRUTORA PLANETA;CONSTRUTORA PLANETA;;;;CONSTRUTORA PLANETA;;CONSTRUTORA PLANETA;;;;;3 DORMS;3;1;2;2;92,78;156,23;120;4;16;2,01;365.800,00;3.942,66;504.365,27;5.436,14;494.665,85;5.331,60;484.087,87;5.217,59;566.000,00;6.100,45;97,50;2,50;117;3;43.896.000,00;Preço Fechado;;;;05/09/2018;
37329413;50;ILE NOTRE-DAME;TORRE A, TORRE B;SOROCABA - SP;R RAPHAEL DIAS DA SILVA, 160;PARQUE CAMPOLIM;SEM DISTRITO;INTERIOR;SOROCABA;SP;18048-120;ZR 2;0;0;abr/13;nov/16;;;Res. Vertical;MEDIO;PADRAO MEDIO-C/ELEVADOR;PRONTO;5.750,00;;2;3;;Quadra de Tennis, Quadra Poli-Esportiva, Piscina Adulta, Espaco Gourmet, Salao de Festas, Salao de Jogos, Piscina Infantil, Playground, Fitness,;PLANETA;CONSTRUTORA PLANETA;CONSTRUTORA PLANETA;;;;CONSTRUTORA PLANETA;;CONSTRUTORA PLANETA;;;;;GARDEN;3;1;2;2;122,22;151,23;4;4;16;2,01;409.200,00;3.348,06;564.205,22;4.616,31;553.355,02;4.527,53;541.522,03;4.430,71;568.000,00;4.647,36;100,00;0,00;4;0;1.636.800,00;Preço Fechado;;;;28/02/2018;
37329413;50;ILE NOTRE-DAME;TORRE A, TORRE B;SOROCABA - SP;R RAPHAEL DIAS DA SILVA, 160;PARQUE CAMPOLIM;SEM DISTRITO;INTERIOR;SOROCABA;SP;18048-120;ZR 2;0;0;abr/13;nov/16;;;Res. Vertical;MEDIO;PADRAO MEDIO-C/ELEVADOR;PRONTO;5.750,00;;2;3;;Quadra de Tennis, Quadra Poli-Esportiva, Piscina Adulta, Espaco Gourmet, Salao de Festas, Salao de Jogos, Piscina Infantil, Playground, Fitness,;PLANETA;CONSTRUTORA PLANETA;CONSTRUTORA PLANETA;;;;CONSTRUTORA PLANETA;;CONSTRUTORA PLANETA;;;;;GARDEN;3;1;2;2;127,92;188,23;4;4;16;2,01;417.100,00;3.260,63;575.097,75;4.495,76;564.038,07;4.409,30;551.976,63;4.315,01;575.000,00;4.495,00;100,00;0,00;4;0;1.668.400,00;Preço Fechado;;;;28/02/2018;
3695515;51;ILHA BELA;BLOCO 1, BLOCO 2, BLOCO 3, BLOCO 4, BLOCO 5, BLOCO 6, BLOCO 7, BLOCO 8, BLOCO 9;SOROCABA - SP;R PROFESSOR ARMANDO RIZZO, 440;VILA ALMEIDA;SEM DISTRITO;;SOROCABA;SP;18075-490;;0;0;mai/15;out/17;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;PRONTO;9.000,00;;9;0;;Piscina Adulta, Espaco Gourmet, Salao de Festas, Salao de Jogos, Piscina Infantil, Solarium,;MAGNUM;MAGNUM COMERCIAL E CONSTRUTORA LTDA;MAGNUM COMERCIAL E CONSTRUTORA LTDA;;;;MAGNUM COMERCIAL E CONSTRUTORA LTDA;;MAGNUM COMERCIAL E CONSTRUTORA LTDA;;;;;2 DORMS;2;0;1;1;47,00;70,50;153;4;4;3,06;151.164,00;3.216,26;178.912,52;3.806,66;182.071,15;3.873,86;188.175,52;4.003,74;164.840,00;3.507,23;97,39;2,61;149;4;23.128.092,00;Preço Fechado;;;;04/09/2018;MM: 04.09.2018 Ficha revisada!
3695515;51;ILHA BELA;BLOCO 1, BLOCO 2, BLOCO 3, BLOCO 4, BLOCO 5, BLOCO 6, BLOCO 7, BLOCO 8, BLOCO 9;SOROCABA - SP;R PROFESSOR ARMANDO RIZZO, 440;VILA ALMEIDA;SEM DISTRITO;;SOROCABA;SP;18075-490;;0;0;mai/15;out/17;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;PRONTO;9.000,00;;9;0;;Piscina Adulta, Espaco Gourmet, Salao de Festas, Salao de Jogos, Piscina Infantil, Solarium,;MAGNUM;MAGNUM COMERCIAL E CONSTRUTORA LTDA;MAGNUM COMERCIAL E CONSTRUTORA LTDA;;;;MAGNUM COMERCIAL E CONSTRUTORA LTDA;;MAGNUM COMERCIAL E CONSTRUTORA LTDA;;;;;1 DORM;1;0;1;1;38,00;57,00;9;4;4;3,06;128.640,00;3.385,26;152.253,89;4.006,68;154.941,87;4.077,41;160.136,66;4.214,12;141.619,00;3.726,82;100,00;0,00;9;0;1.157.760,00;Preço Fechado;;;;19/03/2018;
3629512;52;ILHAS GREGAS;TORRE 1, TORRE 2, TORRE 3, TORRE 4, TORRE 5, TORRE 6, TORRE 7, TORRE 8, TORRE 9, TORRE 10;SOROCABA - SP;R CANANEIA, 0;JARDIM IGUATEMI;SEM DISTRITO;INTERIOR;SOROCABA;SP;18085-560;;0;0;mai/13;mai/14;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-C/ELEVADOR;PRONTO;8.800,00;;10;1;;Salao de Festas, Playground,;MAGNUM;MAGNUM COMERCIAL E CONSTRUTORA LTDA;MAGNUM COMERCIAL E CONSTRUTORA LTDA;;;;MAGNUM COMERCIAL E CONSTRUTORA LTDA;;MAGNUM COMERCIAL E CONSTRUTORA LTDA;;;;;2 DORMS;2;0;1;1;47,00;62,00;180;4;5;2,03;132.000,00;2.808,51;177.994,16;3.787,11;178.493,30;3.797,73;167.260,03;3.558,72;153.000,00;3.255,32;100,00;0,00;180;0;23.760.000,00;Preço Fechado;;;;26/08/2014;
32411318;53;IMAGINE IPANEMA;BL 1, BL 2, BL 3, BL 4, BL 5, BL 6, BL 7, BL 8, BL 9, BL 10;SOROCABA - SP;R SERAPHIM BANIETTI, 900;CAGUASSU;SEM DISTRITO;;SOROCABA;SP;18072-856;ZR 3;0;0;fev/18;ago/20;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;LANÇAMENTO;12.126,75;;10;0;;Churrasqueira, Piscina Adulta, Salao de Festas, Playground,;BOULDER;BOULDER ENGENHARIA E PARTICIPACOES LTDA;BOULDER ENGENHARIA E PARTICIPACOES LTDA;;;;BOULDER ENGENHARIA E PARTICIPACOES LTDA;;BOULDER ENGENHARIA E PARTICIPACOES LTDA;;;;;2 DORMS;2;0;1;1;43,71;65,56;132;4;3;3,24;139.900,00;3.200,64;143.393,54;3.280,57;146.963,22;3.362,23;142.337,88;3.256,41;133.000,00;3.042,78;30,30;69,70;40;92;18.466.800,00;Preço Fechado;;;;17/09/2018;KA - REVISADO OK
32411318;53;IMAGINE IPANEMA;BL 1, BL 2, BL 3, BL 4, BL 5, BL 6, BL 7, BL 8, BL 9, BL 10;SOROCABA - SP;R SERAPHIM BANIETTI, 900;CAGUASSU;SEM DISTRITO;;SOROCABA;SP;18072-856;ZR 3;0;0;fev/18;ago/20;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;LANÇAMENTO;12.126,75;;10;0;;Churrasqueira, Piscina Adulta, Salao de Festas, Playground,;BOULDER;BOULDER ENGENHARIA E PARTICIPACOES LTDA;BOULDER ENGENHARIA E PARTICIPACOES LTDA;;;;BOULDER ENGENHARIA E PARTICIPACOES LTDA;;BOULDER ENGENHARIA E PARTICIPACOES LTDA;;;;;GARDEN;2;0;1;1;58,59;87,88;18;4;3;3,24;151.000,00;2.577,23;154.770,73;2.641,59;158.623,63;2.707,35;153.631,31;2.622,14;152.000,00;2.594,30;38,89;61,11;7;11;2.718.000,00;Preço Fechado;;;;17/09/2018;
32411318;53;IMAGINE IPANEMA;BL 1, BL 2, BL 3, BL 4, BL 5, BL 6, BL 7, BL 8, BL 9, BL 10;SOROCABA - SP;R SERAPHIM BANIETTI, 900;CAGUASSU;SEM DISTRITO;;SOROCABA;SP;18072-856;ZR 3;0;0;fev/18;ago/20;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;LANÇAMENTO;12.126,75;;10;0;;Churrasqueira, Piscina Adulta, Salao de Festas, Playground,;BOULDER;BOULDER ENGENHARIA E PARTICIPACOES LTDA;BOULDER ENGENHARIA E PARTICIPACOES LTDA;;;;BOULDER ENGENHARIA E PARTICIPACOES LTDA;;BOULDER ENGENHARIA E PARTICIPACOES LTDA;;;;;GARDEN;2;0;1;1;53,50;80,25;4;4;3;3,24;146.000,00;2.728,97;149.645,87;2.797,12;153.371,19;2.866,75;148.544,18;2.776,52;146.000,00;2.728,97;100,00;0,00;4;0;584.000,00;Preço Fechado;;;;17/09/2018;
32411318;53;IMAGINE IPANEMA;BL 1, BL 2, BL 3, BL 4, BL 5, BL 6, BL 7, BL 8, BL 9, BL 10;SOROCABA - SP;R SERAPHIM BANIETTI, 900;CAGUASSU;SEM DISTRITO;;SOROCABA;SP;18072-856;ZR 3;0;0;fev/18;ago/20;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;LANÇAMENTO;12.126,75;;10;0;;Churrasqueira, Piscina Adulta, Salao de Festas, Playground,;BOULDER;BOULDER ENGENHARIA E PARTICIPACOES LTDA;BOULDER ENGENHARIA E PARTICIPACOES LTDA;;;;BOULDER ENGENHARIA E PARTICIPACOES LTDA;;BOULDER ENGENHARIA E PARTICIPACOES LTDA;;;;;GARDEN;2;0;1;1;68,38;102,57;6;4;3;3,24;151.000,00;2.208,25;154.770,73;2.263,39;158.623,63;2.319,74;153.631,31;2.246,73;151.000,00;2.208,25;100,00;0,00;6;0;906.000,00;Preço Fechado;;;;17/09/2018;
330371115;54;IMPERIA RESIDENCE;;SOROCABA - SP;R PROFESSORA FRANCISCA DE QUEIROZ, 236;VILA INDEPENDENCIA;SEM DISTRITO;;SOROCABA;SP;18040-325;;0;0;jul/14;jun/17;;;Res. Vertical;MEDIO ALTO;PADRAO MEDIO-C/ELEVADOR;EM OBRAS;1.170,00;;1;2;;Academia, Churrasqueira, Piscina Adulta, Salao de Festas, Piscina Infantil, Playground, Brinquedoteca,;SILVA CAMPOS;CONSTRUTORA SILVA CAMPOS;CONSTRUTORA SILVA CAMPOS;;;;CONSTRUTORA SILVA CAMPOS;;CONSTRUTORA SILVA CAMPOS;RIBEIRA IMOVEIS;;;;3 DORMS;3;3;3;3;220,00;330,00;18;3;18;2,22;958.528,00;4.356,95;1.182.840,86;5.376,55;1.218.350,74;5.537,96;1.123.153,71;5.105,25;1.150.000,00;5.227,27;77,78;22,22;14;4;17.253.504,00;Preço Fechado;;;;21/09/2018;corretoraelianasantos@gmail.com. NR 31.07.18: Ficha Revisada
330371115;54;IMPERIA RESIDENCE;;SOROCABA - SP;R PROFESSORA FRANCISCA DE QUEIROZ, 236;VILA INDEPENDENCIA;SEM DISTRITO;;SOROCABA;SP;18040-325;;0;0;jul/14;jun/17;;;Res. Vertical;MEDIO;PADRAO MEDIO-C/ELEVADOR;EM OBRAS;1.170,00;;1;2;;Academia, Churrasqueira, Piscina Adulta, Salao de Festas, Piscina Infantil, Playground, Brinquedoteca,;SILVA CAMPOS;CONSTRUTORA SILVA CAMPOS;CONSTRUTORA SILVA CAMPOS;;;;CONSTRUTORA SILVA CAMPOS;;CONSTRUTORA SILVA CAMPOS;RIBEIRA IMOVEIS;;;;3 DORMS;3;1;1;2;105,00;157,50;36;3;18;2,22;402.773,00;3.835,93;497.029,15;4.733,61;511.950,39;4.875,71;471.948,64;4.494,75;554.932,00;5.285,07;100,00;0,00;36;0;14.499.828,00;Preço Fechado;;;;21/09/2018;
3720515;55;JARDIM AMETISTA;LOTEAMENTO ABERTO;SOROCABA - SP;AV PARANA, 3551;CAJURU DO SUL;SEM DISTRITO;;SOROCABA;SP;18105-000;;0;0;jun/15;jun/17;;;Loteamento;;PADRAO MEDIO-C/ELEVADOR;PRONTO;52.000,00;;0;0;;;DGL;DGL URBANISMO;DGL URBANISMO;;;;DGL URBANISMO;;ANCORA IMOVEIS SOROCABA;;;;;LOTE;0;0;0;0;175,00;175,00;262;0;0;3,11;89.000,00;508,57;103.438,83;591,08;106.481,96;608,47;99.335,06;567,63;96.250,00;550,00;90,46;9,54;237;25;23.318.000,00;Preço Fechado;;;;03/09/2018;"BW - Alterei incorporadora, construtora, vendedora e site
KP - 09/05/2018 - Ficha Revisada."
331431115;56;JARDIM DAS ORQUIDEAS;;SOROCABA - SP;R RENATO GATTI, 0;JARDIM JATOBA;SEM DISTRITO;;SOROCABA;SP;18103-430;;0;0;nov/14;mar/15;;;Loteamento;;PADRAO MEDIO-S/ELEVADOR;EM OBRAS;100.136,00;;0;0;;;METAL LAND;METAL LAND EMPREENDIMENTOS IMOBILIARIOS LTDA;METAL LAND EMPREENDIMENTOS IMOBILIARIOS LTDA;;;;METAL LAND EMPREENDIMENTOS IMOBILIARIOS LTDA;;SOUSA IMOVEIS;;;;;LOTE;0;0;0;0;168,00;168,00;210;0;0;2,55;72.441,00;431,20;88.640,61;527,63;90.988,04;541,60;84.356,31;502,13;85.000,00;505,95;100,00;0,00;210;0;15.212.610,00;Preço Fechado;;;;22/11/2016;
3842515;57;JARDIM DAS TULIPAS;BLOCO 1, BLOCO 2, BLOCO 3, BLOCO 4, BLOCO 5;SOROCABA - SP;R JOSE ALVES DA SILVA, 40;JARDIM TULIPAS;SEM DISTRITO;;SOROCABA;SP;18050-631;;0;0;abr/14;jun/16;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-C/ELEVADOR;EM OBRAS;7.397,60;;5;1;;Piscina Adulta, Espaco Gourmet, Salao de Festas, Salao de Jogos, Piscina Infantil, Playground,;PARTEG;PARTEG ENGENHARIA E CONSTRUCAO LTDA;PARTEG ENGENHARIA E CONSTRUCAO LTDA;;;;PARTEG ENGENHARIA E CONSTRUCAO LTDA;;ABS NEGOCIOS IMOBILIARIOS LTDA;;;;;2 DORMS;2;0;1;1;49,00;73,50;120;6;6;2,23;132.880,00;2.711,84;169.709,58;3.463,46;166.404,49;3.396,01;163.702,58;3.340,87;150.000,00;3.061,22;100,00;0,00;120;0;15.945.600,00;Preço Fechado;;;;16/08/2016;
3842515;57;JARDIM DAS TULIPAS;BLOCO 1, BLOCO 2, BLOCO 3, BLOCO 4, BLOCO 5;SOROCABA - SP;R JOSE ALVES DA SILVA, 40;JARDIM TULIPAS;SEM DISTRITO;;SOROCABA;SP;18050-631;;0;0;abr/14;jun/16;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-C/ELEVADOR;EM OBRAS;7.397,60;;5;1;;Piscina Adulta, Espaco Gourmet, Salao de Festas, Salao de Jogos, Piscina Infantil, Playground,;PARTEG;PARTEG ENGENHARIA E CONSTRUCAO LTDA;PARTEG ENGENHARIA E CONSTRUCAO LTDA;;;;PARTEG ENGENHARIA E CONSTRUCAO LTDA;;ABS NEGOCIOS IMOBILIARIOS LTDA;;;;;GARDEN;2;0;1;1;66,00;99,00;18;6;6;2,23;136.400,00;2.066,67;174.205,20;2.639,48;170.812,55;2.588,07;168.039,07;2.546,05;155.000,00;2.348,48;100,00;0,00;18;0;2.455.200,00;Preço Fechado;;;;16/08/2016;
3842515;57;JARDIM DAS TULIPAS;BLOCO 1, BLOCO 2, BLOCO 3, BLOCO 4, BLOCO 5;SOROCABA - SP;R JOSE ALVES DA SILVA, 40;JARDIM TULIPAS;SEM DISTRITO;;SOROCABA;SP;18050-631;;0;0;abr/14;jun/16;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-C/ELEVADOR;EM OBRAS;7.397,60;;5;1;;Piscina Adulta, Espaco Gourmet, Salao de Festas, Salao de Jogos, Piscina Infantil, Playground,;PARTEG;PARTEG ENGENHARIA E CONSTRUCAO LTDA;PARTEG ENGENHARIA E CONSTRUCAO LTDA;;;;PARTEG ENGENHARIA E CONSTRUCAO LTDA;;ABS NEGOCIOS IMOBILIARIOS LTDA;;;;;GARDEN;2;0;1;1;98,00;147,00;9;6;6;2,23;142.560,00;1.454,69;182.072,53;1.857,88;178.526,67;1.821,70;175.627,93;1.792,12;162.000,00;1.653,06;100,00;0,00;9;0;1.283.040,00;Preço Fechado;;;;16/08/2016;
3842515;57;JARDIM DAS TULIPAS;BLOCO 1, BLOCO 2, BLOCO 3, BLOCO 4, BLOCO 5;SOROCABA - SP;R JOSE ALVES DA SILVA, 40;JARDIM TULIPAS;SEM DISTRITO;;SOROCABA;SP;18050-631;;0;0;abr/14;jun/16;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-C/ELEVADOR;EM OBRAS;7.397,60;;5;1;;Piscina Adulta, Espaco Gourmet, Salao de Festas, Salao de Jogos, Piscina Infantil, Playground,;PARTEG;PARTEG ENGENHARIA E CONSTRUCAO LTDA;PARTEG ENGENHARIA E CONSTRUCAO LTDA;;;;PARTEG ENGENHARIA E CONSTRUCAO LTDA;;ABS NEGOCIOS IMOBILIARIOS LTDA;;;;;2 DORMS;2;0;1;1;53,00;79,50;60;6;6;2,23;134.640,00;2.540,38;171.957,39;3.244,48;168.608,52;3.181,30;165.870,83;3.129,64;152.500,00;2.877,36;100,00;0,00;60;0;8.078.400,00;Preço Fechado;;;;06/05/2016;
